start_node,end_node,way_id,day,month,year,hour,agg,tracker_speed
132939904,132939903,233822655,6,4,2019,16,2.0,13.285714285714286
132939904,132939903,233822655,6,4,2019,17,2.0,27.5
132939904,132939903,233822655,6,4,2019,18,2.0,6.75
132939904,132939903,233822655,6,4,2019,19,2.0,24.0
132939904,132939903,233822655,6,4,2019,20,2.0,27.333333333333332
132939904,132939903,233822655,6,4,2019,21,2.0,10.333333333333334
132939904,132939903,233822655,6,4,2019,22,2.0,32.0
132939904,132939903,233822655,7,4,2019,0,0.0,24.0
132939904,132939903,233822655,7,4,2019,3,1.0,0.0
132939904,132939903,233822655,7,4,2019,4,1.0,54.0
132939904,132939903,233822655,7,4,2019,5,1.0,23.0
132939904,132939903,233822655,7,4,2019,7,1.0,47.0
132939904,132939903,233822655,7,4,2019,13,1.0,31.0
132939904,132939903,233822655,7,4,2019,14,1.0,23.0
132939904,132939903,233822655,7,4,2019,15,1.0,19.666666666666668
132939904,132939903,233822655,7,4,2019,18,2.0,0.5
132939904,132939903,233822655,7,4,2019,19,2.0,0.0
132939904,132939903,233822655,7,4,2019,20,2.0,2.8333333333333335
132939904,132939903,233822655,7,4,2019,21,2.0,0.0
132939904,132939903,233822655,7,4,2019,22,2.0,6.75
132939904,132939903,233822655,7,4,2019,23,2.0,0.0
132939904,132939903,233822655,8,4,2019,0,0.0,0.0
132939904,132939903,233822655,8,4,2019,1,1.0,6.285714285714286
132939904,132939903,233822655,8,4,2019,5,1.0,38.0
132939904,132939903,233822655,8,4,2019,11,1.0,30.0
132939904,132939903,233822655,8,4,2019,12,1.0,24.0
132939904,132939903,233822655,8,4,2019,13,1.0,14.0
132939904,132939903,233822655,8,4,2019,14,1.0,21.5
132939904,132939903,233822655,8,4,2019,15,1.0,30.0
132939904,132939903,233822655,8,4,2019,16,2.0,15.333333333333334
132939904,132939903,233822655,8,4,2019,17,2.0,0.0
132939904,132939903,233822655,8,4,2019,18,2.0,12.5
132939904,132939903,233822655,8,4,2019,19,2.0,11.0
132939904,132939903,233822655,8,4,2019,21,2.0,12.0
132939904,132939903,233822655,9,4,2019,2,1.0,29.0
132939904,132939903,233822655,9,4,2019,4,1.0,34.0
132939904,132939903,233822655,9,4,2019,6,1.0,41.0
132939904,132939903,233822655,9,4,2019,9,1.0,20.0
132939904,132939903,233822655,9,4,2019,11,1.0,41.0
132939904,132939903,233822655,9,4,2019,12,1.0,19.0
132939904,132939903,233822655,9,4,2019,13,1.0,23.0
132939904,132939903,233822655,9,4,2019,14,1.0,34.0
132939904,132939903,233822655,9,4,2019,15,1.0,16.0
132939904,132939903,233822655,9,4,2019,16,2.0,26.0
132939904,132939903,233822655,9,4,2019,17,2.0,16.0
132939904,132939903,233822655,9,4,2019,19,2.0,28.0
132939904,132939903,233822655,9,4,2019,20,2.0,12.5
132939904,132939903,233822655,9,4,2019,21,2.0,12.0
132939904,132939903,233822655,9,4,2019,22,2.0,15.0
132939904,132939903,233822655,10,4,2019,1,1.0,36.0
132939904,132939903,233822655,10,4,2019,5,1.0,25.0
132939904,132939903,233822655,10,4,2019,6,1.0,25.0
132939904,132939903,233822655,10,4,2019,10,1.0,10.0
132939904,132939903,233822655,10,4,2019,11,1.0,7.0
132939904,132939903,233822655,10,4,2019,12,1.0,32.0
132939904,132939903,233822655,10,4,2019,14,1.0,19.4
132939904,132939903,233822655,10,4,2019,15,1.0,29.5
132939904,132939903,233822655,10,4,2019,17,2.0,0.0
132939904,132939903,233822655,10,4,2019,18,2.0,3.8333333333333335
132939904,132939903,233822655,10,4,2019,21,2.0,12.666666666666666
132939904,132939903,233822655,10,4,2019,22,2.0,0.0
248102146,132935330,23378734,2,4,2019,7,1.0,43.0
248102146,132935330,23378734,2,4,2019,10,1.0,13.0
248102146,132935330,23378734,2,4,2019,19,2.0,26.0
248102146,132935330,23378734,2,4,2019,20,2.0,5.0
248102146,132935330,23378734,3,4,2019,7,1.0,41.5
248102146,132935330,23378734,4,4,2019,6,1.0,35.0
248102146,132935330,23378734,4,4,2019,15,1.0,15.571428571428571
248102146,132935330,23378734,4,4,2019,18,2.0,0.0
248102146,132935330,23378734,5,4,2019,10,1.0,27.0
248102146,132935330,23378734,5,4,2019,19,2.0,21.0
248102146,132935330,23378734,6,4,2019,8,1.0,26.0
248102146,132935330,23378734,6,4,2019,20,2.0,11.0
248102146,132935330,23378734,7,4,2019,2,1.0,16.0
248102146,132935330,23378734,7,4,2019,5,1.0,27.0
248102146,132935330,23378734,7,4,2019,16,2.0,16.0
248102146,132935330,23378734,8,4,2019,2,1.0,5.0
248102146,132935330,23378734,8,4,2019,17,2.0,1.5
248102146,132935330,23378734,8,4,2019,19,2.0,18.5
248102146,132935330,23378734,10,4,2019,16,2.0,6.0
248102146,132935330,23378734,10,4,2019,19,2.0,26.0
